identA,identB,comparison_reason
GCF_001931535.1,GCF_002682985.1,size-diff
GCF_001931535.1,GCA_000147015.1,size-diff
GCF_001931535.1,GCF_004296495.1,size-diff
GCF_001931535.1,GCF_017656055.1,size-diff
GCF_001931535.1,GCA_015134435.1,size-diff
GCF_001931535.1,GCA_000331975.1,size-diff
GCF_001931535.1,GCF_004296515.1,size-diff
GCF_001931535.1,GCF_003213775.1,size-diff
GCF_001931535.1,GCF_004296475.1,size-diff
GCF_001931535.1,GCF_004296535.1,size-diff
GCF_001931535.1,GCA_015134315.1,size-diff
GCF_001931535.1,GCA_015134375.1,size-diff
GCF_001931535.1,GCA_002254805.1,size-diff
GCF_001931535.1,GCA_002688505.1,size-diff
GCF_001931535.1,GCA_015134075.1,size-diff
GCA_018666605.1,GCF_002682985.1,size-diff
GCA_018666605.1,GCA_000147015.1,size-diff
GCA_018666605.1,GCF_004296495.1,size-diff
GCA_018666605.1,GCF_017656055.1,size-diff
GCA_018666605.1,GCA_015134435.1,size-diff
GCA_018666605.1,GCA_000331975.1,size-diff
GCA_018666605.1,GCF_004296515.1,size-diff
GCA_018666605.1,GCF_003213775.1,size-diff
GCA_018666605.1,GCF_004296475.1,size-diff
GCA_018666605.1,GCF_004296535.1,size-diff
GCA_018666605.1,GCA_015134315.1,size-diff
GCA_018666605.1,GCA_015134375.1,size-diff
GCA_018666605.1,GCA_002254805.1,size-diff
GCA_018666605.1,GCA_002688505.1,size-diff
GCA_018666605.1,GCA_015134075.1,size-diff
GCF_000418325.1,GCF_002682985.1,size-diff
GCF_000418325.1,GCA_000147015.1,size-diff
GCF_000418325.1,GCF_004296495.1,size-diff
GCF_000418325.1,GCF_017656055.1,size-diff
GCF_000418325.1,GCA_015134435.1,size-diff
GCF_000418325.1,GCA_000331975.1,size-diff
GCF_000418325.1,GCF_004296515.1,size-diff
GCF_000418325.1,GCF_003213775.1,size-diff
GCF_000418325.1,GCF_004296475.1,size-diff
GCF_000418325.1,GCF_004296535.1,size-diff
GCF_000418325.1,GCA_015134315.1,size-diff
GCF_000418325.1,GCA_015134375.1,size-diff
GCF_000418325.1,GCA_002254805.1,size-diff
GCF_000418325.1,GCA_002688505.1,size-diff
GCF_000418325.1,GCA_015134075.1,size-diff
GCA_018694235.1,GCF_002682985.1,size-diff
GCA_018694235.1,GCA_000147015.1,size-diff
GCA_018694235.1,GCF_004296495.1,size-diff
GCA_018694235.1,GCF_017656055.1,size-diff
GCA_018694235.1,GCA_015134435.1,size-diff
GCA_018694235.1,GCA_000331975.1,size-diff
GCA_018694235.1,GCF_004296515.1,size-diff
GCA_018694235.1,GCF_003213775.1,size-diff
GCA_018694235.1,GCF_004296475.1,size-diff
GCA_018694235.1,GCF_004296535.1,size-diff
GCA_018694235.1,GCA_015134315.1,size-diff
GCA_018694235.1,GCA_015134375.1,size-diff
GCA_018694235.1,GCA_002254805.1,size-diff
GCA_018694235.1,GCA_002688505.1,size-diff
GCA_018694235.1,GCA_015134075.1,size-diff
GCF_005893125.1,GCF_002682985.1,size-diff
GCF_005893125.1,GCA_000147015.1,size-diff
GCF_005893125.1,GCF_004296495.1,size-diff
GCF_005893125.1,GCF_017656055.1,size-diff
GCF_005893125.1,GCA_015134435.1,size-diff
GCF_005893125.1,GCA_000331975.1,size-diff
GCF_005893125.1,GCF_004296515.1,size-diff
GCF_005893125.1,GCF_003213775.1,size-diff
GCF_005893125.1,GCF_004296475.1,size-diff
GCF_005893125.1,GCF_004296535.1,size-diff
GCF_005893125.1,GCA_015134315.1,size-diff
GCF_005893125.1,GCA_015134375.1,size-diff
GCF_005893125.1,GCA_002254805.1,size-diff
GCF_005893125.1,GCA_002688505.1,size-diff
GCF_005893125.1,GCA_015134075.1,size-diff
GCF_004135755.1,GCF_002682985.1,size-diff
GCF_004135755.1,GCA_000147015.1,size-diff
GCF_004135755.1,GCF_004296495.1,size-diff
GCF_004135755.1,GCF_017656055.1,size-diff
GCF_004135755.1,GCA_015134435.1,size-diff
GCF_004135755.1,GCA_000331975.1,size-diff
GCF_004135755.1,GCF_004296515.1,size-diff
GCF_004135755.1,GCF_003213775.1,size-diff
GCF_004135755.1,GCF_004296475.1,size-diff
GCF_004135755.1,GCF_004296535.1,size-diff
GCF_004135755.1,GCA_015134315.1,size-diff
GCF_004135755.1,GCA_015134375.1,size-diff
GCF_004135755.1,GCA_002254805.1,size-diff
GCF_004135755.1,GCA_002688505.1,size-diff
GCF_004135755.1,GCA_015134075.1,size-diff
GCF_002950945.1,GCF_002682985.1,size-diff
GCF_002950945.1,GCA_000147015.1,size-diff
GCF_002950945.1,GCF_004296495.1,size-diff
GCF_002950945.1,GCF_017656055.1,size-diff
GCF_002950945.1,GCA_015134435.1,size-diff
GCF_002950945.1,GCA_000331975.1,size-diff
GCF_002950945.1,GCF_004296515.1,size-diff
GCF_002950945.1,GCF_003213775.1,size-diff
GCF_002950945.1,GCF_004296475.1,size-diff
